Opportunity_ID,Lead_ID,Opportunity_Name,Deal_Amount,Sales_Stage,Win_Probability,Expected_Close,Date_Created,Account_Manager,Type,Lead_Source,Product,Forecast_Category,Next_Steps,Competitor,Loss_Reason,Region
LATAM-OPP-000133,LATAM-LEAD-000350,CloudChile - Opportunity,5124.0,,20,2024-06-18,2023-11-25,Maria Silva,New Business,Email Marketing,,Best Case,Follow up,Salesforce,,LATAM
LATAM-OPP-000134,LATAM-LEAD-000353,CloudChile - Opportunity,66376.0,Closed Won,100,2025-02-26,2024-08-04,Carlos Mendez,New,Email Marketing,Cloud Suite,Best Case,Schedule demo,,,LATAM
LATAM-OPP-000135,LATAM-LEAD-000356,TecnoBrasil - Opportunity,193144.0,Qualification,29,2022-09-13,2022-02-04,,,web form,cloud suite,Best Case,Send proposal,Oracle,,LATAM
LATAM-OPP-000136,LATAM-LEAD-000357,InnovaColombia - Opportunity,205631.0,Needs Analysis,51,2024-10-08,2024-03-03,Maria Silva,,Web Form,Integration Tools,Pipeline,Follow up,None,,LATAM
LATAM-OPP-000137,LATAM-LEAD-000358,DataArgentina - Opportunity,82967.0,Prospecting,13,2023-03-20,2023-01-14,,Renewal,web form,Security Suite,Best Case,,SAP,,LATAM
LATAM-OPP-000138,LATAM-LEAD-000363,FuturoTech - Opportunity,368510.0,Closed Lost,0,2024-01-23,2023-12-08,José Rodriguez,New Business,Trade Show,Integration Tools,Best Case,Schedule demo,,,LATAM
LATAM-OPP-000139,LATAM-LEAD-000365,TecnoBrasil - Opportunity,414498.0,CLOSED WON,72,2025-03-02,2024-05-11,Maria Silva,New Business,Website,Cloud,Omitted,Schedule demo,Oracle,,LATAM
LATAM-OPP-000140,LATAM-LEAD-000366,DigitalPeru - Opportunity,4264058.0,Needs Analysis,48,2024-12-28,2023-12-31,Carlos Mendez,New,Cold Call,Integration Tools,Commit,,,,LATAM
LATAM-OPP-000141,LATAM-LEAD-000371,DigitalPeru - Opportunity,268960.0,Closed Lost,0,2023-09-02,2023-07-12,,New Business,Referral,Cloud,,Send proposal,SAP,,LATAM
LATAM-OPP-000142,LATAM-LEAD-000375,DataArgentina - Opportunity,279537.0,CLOSED WON,61,2024-12-30,2024-05-03,,Renewal,,,Best Case,Schedule demo,None,,LATAM
LATAM-OPP-000143,LATAM-LEAD-000376,,,Closed Lost,0,2022-07-18,2022-01-10,Maria Silva,Cross-sell,Cold Call,Cloud,Commit,,SAP,Price,LATAM
LATAM-OPP-000144,LATAM-LEAD-000378,DigitalPeru - Opportunity,317886.0,Qualification,28,2024-12-20,2024-10-30,Maria Silva,Cross-sell,,,Pipeline,Follow up,SAP,,LATAM
LATAM-OPP-000145,LATAM-LEAD-000381,InnovaColombia - Opportunity,293872.0,,44,2023-10-24,2023-02-02,Maria Silva,Renewal,Web Form,Analytics Platform,Pipeline,Send proposal,Salesforce,,LATAM
LATAM-OPP-000146,LATAM-LEAD-000386,,226436.0,,63,2025-10-13,2023-08-28,Carlos Mendez,New,LinkedIn,Integration Tools,,Send proposal,SAP,,LATAM
LATAM-OPP-000147,LATAM-LEAD-000388,CloudChile - Opportunity,71439.0,Proposal,50,2025-04-16,2024-04-26,,Upsell,Referral,Security Suite,Best Case,Schedule demo,None,,LATAM
LATAM-OPP-000148,LATAM-LEAD-000390,InnovaColombia - Opportunity,146610.0,Closed Lost,0,2024-08-18,2024-06-30,José Rodriguez,New,web form,Integration Tools,Omitted,,Oracle,Price,LATAM
LATAM-OPP-000149,LATAM-LEAD-000391,FuturoTech - Opportunity,235965.0,Prospecting,22,2024-10-09,2023-11-07,,,Website,Security Suite,Omitted,Follow up,Oracle,,LATAM
LATAM-OPP-000150,LATAM-LEAD-000392,DataArgentina - Opportunity,162652.0,Closed Won,100,2024-08-17,2023-11-24,Maria Silva,Upsell,Partner,Integration Tools,,Follow up,Salesforce,,LATAM
LATAM-OPP-000151,LATAM-LEAD-000395,TecnoBrasil - Opportunity,410545.0,Prospecting,17,2023-11-26,2023-06-28,Maria Silva,,Website,cloud suite,,,Oracle,,LATAM
LATAM-OPP-000152,LATAM-LEAD-000396,DataArgentina - Opportunity,267664.0,Negotiation,72,2025-04-11,2024-06-02,José Rodriguez,Upsell,Advertisement,,Pipeline,Follow up,,,LATAM
LATAM-OPP-000153,LATAM-LEAD-000401,CloudChile - Opportunity,333674.0,Needs Analysis,58,2024-02-29,2023-07-15,Carlos Mendez,,Partner,Cloud Suite,Commit,Schedule demo,,,LATAM
LATAM-OPP-000154,LATAM-LEAD-000402,DigitalPeru - Opportunity,,Qualification,38,2025-12-03,2022-11-02,,,Trade Show,cloud suite,Omitted,Send proposal,None,,LATAM
LATAM-OPP-000155,LATAM-LEAD-000406,DigitalPeru - Opportunity,7227.0,Needs Analysis,45,2022-10-27,2022-06-18,Maria Silva,Upsell,Referral,Integration Tools,Omitted,Follow up,None,,LATAM
LATAM-OPP-000156,LATAM-LEAD-000410,DigitalPeru - Opportunity,,Qualification,45,2025-03-30,2024-06-20,José Rodriguez,New Business,Website,Analytics Platform,Commit,Schedule demo,Salesforce,,LATAM
LATAM-OPP-000157,LATAM-LEAD-000412,DigitalPeru - Opportunity,245324.0,Needs Analysis,55,2023-07-08,2022-12-08,José Rodriguez,Upsell,Trade Show,Integration Tools,Omitted,Follow up,Salesforce,,LATAM
LATAM-OPP-000158,LATAM-LEAD-000416,CloudChile - Opportunity,372588.0,Needs Analysis,52,2025-02-03,2024-04-27,Maria Silva,New Business,Trade Show,,Pipeline,Follow up,SAP,,LATAM
LATAM-OPP-000159,LATAM-LEAD-000420,SolucionesSmart - Opportunity,445677.0,,62,2025-03-01,2024-11-23,,Renewal,Trade Show,Security Suite,Commit,Send proposal,Oracle,,LATAM
LATAM-OPP-000160,LATAM-LEAD-000421,DataArgentina - Opportunity,167048.0,Needs Analysis,57,2022-11-11,2022-02-13,Maria Silva,Cross-sell,Website,,Omitted,Follow up,,,LATAM
LATAM-OPP-000161,LATAM-LEAD-000422,CloudChile - Opportunity,410564.0,,22,2024-12-31,2024-04-19,José Rodriguez,Upsell,web form,Cloud,Best Case,Send proposal,Salesforce,,LATAM
LATAM-OPP-000162,LATAM-LEAD-000425,TecnoBrasil - Opportunity,72463.0,Negotiation,90,2025-01-24,2024-08-02,Carlos Mendez,New Business,Email Marketing,,Commit,,,,LATAM
LATAM-OPP-000163,LATAM-LEAD-000429,DigitalPeru - Opportunity,449920.0,Qualification,33,2023-01-15,2022-08-24,José Rodriguez,Cross-sell,Web Form,,Omitted,Schedule demo,,,LATAM
LATAM-OPP-000164,LATAM-LEAD-000430,,118484.0,Closed Lost,0,2025-10-06,2024-10-06,José Rodriguez,Cross-sell,web form,Cloud Suite,Omitted,Send proposal,Salesforce,Competitor,LATAM
LATAM-OPP-000165,LATAM-LEAD-000432,TecnoBrasil - Opportunity,421362.0,Qualification,45,2023-03-04,2022-04-25,Maria Silva,Renewal,Website,Integration Tools,Pipeline,,Salesforce,,LATAM
LATAM-OPP-000166,LATAM-LEAD-000433,TecnoBrasil - Opportunity,330958.0,Prospecting,30,2024-02-01,2023-08-25,Maria Silva,Upsell,Partner,Security Suite,Omitted,Send proposal,Salesforce,,LATAM
LATAM-OPP-000167,LATAM-LEAD-000434,InnovaColombia - Opportunity,32565.0,CLOSED WON,48,2023-10-11,2022-12-21,José Rodriguez,Upsell,Website,Analytics Platform,,,Oracle,,LATAM
LATAM-OPP-000168,LATAM-LEAD-000437,TecnoBrasil - Opportunity,162570.0,Qualification,46,2024-12-25,2024-02-08,Maria Silva,Renewal,Cold Call,,,Schedule demo,Salesforce,,LATAM
LATAM-OPP-000169,LATAM-LEAD-000441,,321291.0,Closed Won,100,2022-10-15,2022-03-30,Maria Silva,Upsell,LinkedIn,Cloud Suite,Omitted,Send proposal,Salesforce,,LATAM
LATAM-OPP-000170,LATAM-LEAD-000442,,433491.0,Proposal,67,2024-04-17,2024-01-21,Carlos Mendez,New Business,Cold Call,Integration Tools,,,SAP,,LATAM
LATAM-OPP-000171,LATAM-LEAD-000443,InnovaColombia - Opportunity,435799.0,Closed Won,100,2025-03-31,2024-04-02,Carlos Mendez,New,Partner,Analytics Platform,Pipeline,Schedule demo,SAP,,LATAM
LATAM-OPP-000172,LATAM-LEAD-000444,TecnoBrasil - Opportunity,205842.0,CLOSED WON,30,2025-03-02,2024-05-22,,Upsell,Cold Call,Integration Tools,,,SAP,,LATAM
LATAM-OPP-000173,LATAM-LEAD-000448,InnovaColombia - Opportunity,187406.0,Qualification,42,2024-04-28,2024-02-09,José Rodriguez,Cross-sell,Website,Cloud,Commit,Schedule demo,,,LATAM
LATAM-OPP-000174,LATAM-LEAD-000449,CloudChile - Opportunity,170451.0,Closed Lost,0,2024-10-20,2024-07-10,,Renewal,Website,Cloud Suite,Commit,,Oracle,,LATAM
LATAM-OPP-000175,LATAM-LEAD-000450,FuturoTech - Opportunity,35823.0,Prospecting,13,2023-12-10,2022-12-11,,Upsell,Web Form,Integration Tools,Commit,Schedule demo,SAP,,LATAM
LATAM-OPP-000176,LATAM-LEAD-000452,FuturoTech - Opportunity,483058.0,Closed Won,100,2022-07-22,2022-02-04,Maria Silva,Cross-sell,Web Form,cloud suite,Pipeline,Schedule demo,Oracle,,LATAM
LATAM-OPP-000177,LATAM-LEAD-000453,InnovaColombia - Opportunity,203437.0,Closed Won,100,2025-01-28,2024-03-03,,Renewal,Trade Show,Cloud Suite,Pipeline,Follow up,Salesforce,,LATAM
LATAM-OPP-000178,LATAM-LEAD-000456,SolucionesSmart - Opportunity,420379.0,Closed Won,100,2022-08-16,2022-05-18,José Rodriguez,New,Advertisement,,Pipeline,,Salesforce,,LATAM
LATAM-OPP-000179,LATAM-LEAD-000457,TecnoBrasil - Opportunity,444066.0,Closed Won,100,2025-03-18,2024-05-22,Carlos Mendez,New,Partner,Analytics Platform,,Send proposal,Salesforce,,LATAM
LATAM-OPP-000180,LATAM-LEAD-000458,TecnoBrasil - Opportunity,459901.0,Closed Lost,0,2023-10-23,2023-08-25,José Rodriguez,,Web Form,Security Suite,Pipeline,Schedule demo,None,,LATAM
LATAM-OPP-000181,LATAM-LEAD-000460,CloudChile - Opportunity,59478.0,Closed Lost,0,2025-06-14,2024-10-12,Carlos Mendez,Upsell,Cold Call,Cloud,,Send proposal,Salesforce,,LATAM
LATAM-OPP-000182,LATAM-LEAD-009999,Orphan Opportunity,80917.0,,39,2026-05-15,2025-12-16,Maria Silva,,,Cloud,Pipeline,Follow up,,,LATAM
LATAM-OPP-000183,LATAM-LEAD-010000,Orphan Opportunity,43549.0,Proposal,49,2026-04-14,2025-12-16,Maria Silva,,Partner,Cloud,Best Case,Follow up,,,LATAM
LATAM-OPP-000184,LATAM-LEAD-010001,Orphan Opportunity,33195.0,CLOSED WON,36,2026-05-23,2025-12-16,Carlos Mendez,New,LinkedIn,Cloud Suite,Pipeline,Follow up,,,LATAM
LATAM-OPP-000185,LATAM-LEAD-010002,Orphan Opportunity,84695.0,CLOSED WON,24,2026-04-08,2025-12-16,Maria Silva,Renewal,Email Marketing,Cloud,Best Case,Follow up,,,LATAM
LATAM-OPP-000186,LATAM-LEAD-010003,Orphan Opportunity,12091.0,Qualification,71,2026-03-05,2025-12-16,Carlos Mendez,Renewal,Advertisement,cloud suite,Pipeline,Follow up,,,LATAM
LATAM-OPP-000187,LATAM-LEAD-010004,Orphan Opportunity,96228.0,Qualification,24,2026-04-08,2025-12-16,Maria Silva,Renewal,,Cloud Suite,Best Case,Follow up,,,LATAM
LATAM-OPP-000188,LATAM-LEAD-010005,Orphan Opportunity,12328.0,,30,2026-05-31,2025-12-16,Carlos Mendez,Cross-sell,Partner,Security Suite,Pipeline,Follow up,,,LATAM
LATAM-OPP-000189,LATAM-LEAD-010006,Orphan Opportunity,93979.0,Proposal,48,2026-02-04,2025-12-16,Maria Silva,Cross-sell,Web Form,Cloud,Best Case,Follow up,,,LATAM
LATAM-OPP-000190,LATAM-LEAD-010007,Orphan Opportunity,97832.0,Needs Analysis,62,2026-03-11,2025-12-16,Carlos Mendez,Cross-sell,web form,Integration Tools,Pipeline,Follow up,,,LATAM
